Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
01. Describe strategies to optimize your financial state during residency. (EO-8528),Active,PROF2 BRIDGE The Finances of Internship (TO-2259),1,Professional,M4 BRI Finances – Van Opstal,M4 BRI Finances – Van Opstal,M4-03 Clinical Bridge,2024-03-22 00:00
Discuss application preparations (EO-9906),Active,PROF2 TTR: Program Director Panel and Residency Small Group Discussions (TO-7049),1,Professional,M4 BRI Program Director Panel,M4 BRI Program Director Panel,M4-03 Clinical Bridge,2024-03-20 00:00
Identify strategies and tips to take on interviews (EO-9926),Active,PROF2 TTR: Program Director Panel and Residency Small Group Discussions (TO-7049),1,Professional,M4 BRI Program Director Panel,M4 BRI Program Director Panel,M4-03 Clinical Bridge,2024-03-20 00:00
01. List strategies to manage fatigue and sleep hygeine. (EO-8525),Active,PROF3 BRIDGE Sleep and wellness (TO-2256),1,Professional,M4 BRI Sleep,M4 BRI Sleep,M4-03 Clinical Bridge,2024-03-27 00:00
01. Describe strategies to coping with the loss of a patient.  (EO-8785),Active,PROF3 BRIDGE Substance Use and Wellness (TO-6868),1,Professional,M4 BRI Physician Substance Use Disorder - Fitzgerald,M4 BRI Physician Substance Use Disorder - Fitzgerald,M4-03 Clinical Bridge,2024-03-22 00:00
01. Communicate openly and respectfully with peers. (EO-5030),Active,PROF3 Team-Building Circles (TO-1008),1,Professional,M2 BSci Carmen Gardner,M2 BSci Abnormal Uterine Bleeding (Carmen Gardner),M2-01 Sexuality and Reproduction (RMD-566),2023-09-08 08:30
Identify populations at risk of developing this disease. (EO-1855),Active,Progressive Multifocal Leukoencephalopathy (PML) (TO-0418),1,Microbiology,M1 BSci Sarina McMaster,M1 BSci Multiple Sclerosis (Sarina McMaster),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-13 13:00
Describe how JC Virus leads to Progressive Multifocal Leukoencephalopathy (PML). (EO-1854),Active,Progressive Multifocal Leukoencephalopathy (PML) (TO-0418),1,Microbiology,M1 BSci Sarina McMaster,M1 BSci Multiple Sclerosis (Sarina McMaster),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-13 13:00
Describe Progressive Multifocal Leukoencephalopathy. (EO-7172),Active,Progressive Multifocal Leukoencephalopathy (PML) (TO-0418),1,Microbiology,M1 BSci Sarina McMaster,M1 BSci Multiple Sclerosis (Sarina McMaster),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-13 13:00
Correlate the types of prostatitis with the most common organisms and/or clinical conditions associated with each type. (EO-6822),Active,Prostate Inflammation and Hyperplasia (TO-6478),1,Pathology,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Correlate benign prostatic hyperplasia with the major clinical features seen with this pathology. (EO-6824),Active,Prostate Inflammation and Hyperplasia (TO-6478),1,Pathology,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Correlate the anatomical zones of the prostate with the types of proliferative lesions typically found in each zone. (EO-6821),Active,Prostate Inflammation and Hyperplasia (TO-6478),1,Pathology,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Recognize and describe the morphological hallmarks of benign prostatic hyperplasia. (EO-6823),Active,Prostate Inflammation and Hyperplasia (TO-6478),1,Pathology,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Discuss the possible pathogenesis of benign prostatic hyperplasia. (EO-6825),Active,Prostate Inflammation and Hyperplasia (TO-6478),1,Pathology,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Describe the mechanism of action of targeted agents: Bortezomib and other second-generation proteasome inhibitors. (EO-7760),Active,Proteasome Inhibitors (TO-1332),1,Pharmacology,M2 BSci Multiple Myeloma Team Building Circles (Laura Vaughn),M2 BSci Multiple Myeloma & Skin Cancer (Multiple Vignettes),M2-04 Introduction to Oncology (RMD-577),2024-01-26 08:30
Describe the mechanisms of action of Aminoglycoside (AG) antibiotics. (EO-3472),Active,Protein Synthesis Inhibitors (TO-0697),1,Pharmacology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
Identify one or two antibiotics that require blood level monitoring and explain why most antibiotics do not require blood level monitoring. (EO-3474),Active,Protein Synthesis Inhibitors (TO-0697),1,Pharmacology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
Describe the mechanisms of action of protein synthesis inhibitors (PSI) antibiotics. (EO-3470),Active,Protein Synthesis Inhibitors (TO-0697),1,Pharmacology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
Identify the primary clinical use and a unique toxicity of the PSI drugs discussed in the Lecture. (EO-3471),Active,Protein Synthesis Inhibitors (TO-0697),1,Pharmacology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
Identify the primary clinical use and a unique toxicity of the AG drugs discussed in the lecture. (EO-3473),Active,Protein Synthesis Inhibitors (TO-0697),1,Pharmacology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
Describe actions health providers can take to advocate for older populations. (EO-10846),Active,Providing equitable care for older populations (TO-7096),1,Advocate,M2 ADVO/COMM/COLL Caring for the Caring for Older Adults,M2 ADVO/COMM/COLL Caring for the Older Adults with Panel,M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-02 08:00
Provide examples of ageism and how perceptions on aging impact health. (EO-10844),Active,Providing equitable care for older populations (TO-7096),1,Advocate,M2 ADVO/COMM/COLL Caring for the Caring for Older Adults,M2 ADVO/COMM/COLL Caring for the Older Adults with Panel,M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-02 08:00
"Describe individual-, community-, health system- and society-level barriers to care for older populations. (EO-10845)",Active,Providing equitable care for older populations (TO-7096),1,Advocate,M2 ADVO/COMM/COLL Caring for the Caring for Older Adults,M2 ADVO/COMM/COLL Caring for the Older Adults with Panel,M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-02 08:00
Perform and interpret the findings of nuchal rigidity. (EO-10886),Active,Provocative Maneuvers in the Musculoskeletal Exam,1,Practitioner,M2 PRAC Advanced Physical Exam 2,M2 PRAC Advanced Physical Exam 2,M2-04 Introduction to Oncology (RMD-577),2024-01-08 08:00
Perform and interpret the findings of the FABER and FADIR tests. (EO-10890),Active,Provocative Maneuvers in the Musculoskeletal Exam,1,Practitioner,M2 PRAC Advanced Physical Exam 2,M2 PRAC Advanced Physical Exam 2,M2-04 Introduction to Oncology (RMD-577),2024-01-08 08:00
Perform provocative maneuvers to diagnose subacromial impingement and rotator cuff injury. (EO-10888),Active,Provocative Maneuvers in the Musculoskeletal Exam,1,Practitioner,M2 PRAC Advanced Physical Exam 2,M2 PRAC Advanced Physical Exam 2,M2-04 Introduction to Oncology (RMD-577),2024-01-08 08:00
Perform and interpret the findings of the straight leg raise test. (EO-10889),Active,Provocative Maneuvers in the Musculoskeletal Exam,1,Practitioner,M2 PRAC Advanced Physical Exam 2,M2 PRAC Advanced Physical Exam 2,M2-04 Introduction to Oncology (RMD-577),2024-01-08 08:00
Perform and interpret the findings of provocative exam maneuvers to diagnose knee ligament rupture. (EO-10891),Active,Provocative Maneuvers in the Musculoskeletal Exam,1,Practitioner,M2 PRAC Advanced Physical Exam 2,M2 PRAC Advanced Physical Exam 2,M2-04 Introduction to Oncology (RMD-577),2024-01-08 08:00
Describe provocative exam maneuvers to diagnose cervical radiculopathy. (EO-10887),Active,Provocative Maneuvers in the Musculoskeletal Exam,1,Practitioner,M2 PRAC Advanced Physical Exam 2,M2 PRAC Advanced Physical Exam 2,M2-04 Introduction to Oncology (RMD-577),2024-01-08 08:00
Recognize the behaviors and characteristics of patients with adult ADHD. (EO-3196),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Differentiate between the history and myths associated with this diagnosis. (EO-3199),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
List the persistence rates and characteristics of ADHD in adults. (EO-3197),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Discuss the biological correlates of ADHD. (EO-3200),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Identify the treatments (including psychostimulants and alpha adrenergic antagonists) and prognosis of ADHD. (EO-3201),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Describe the drug treatments for ADHD and mechanisms thought to be responsible for their efficacy. (EO-3198),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Review the risk factors and symptoms of the specific learning disorders (EO-7910),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Define the DSM and epidemiology of ADHD. (EO-3195),Active,Psychiatry: ADHD (TO-0653),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Calculate a standard drink based on the type of alcohol used. (EO-7728),Active,Psychiatry: Alcohol (TO-6429),1,Neuroscience,M1 BSci Jane Kim,M1 BSci Substance Use Disorder (Jane Kim),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-21 13:00
Interpret diagnostic tests to assess for alcohol intoxication and chronic use (EO-6576),Active,Psychiatry: Alcohol (TO-6429),1,Neuroscience,M1 BSci Jane Kim,M1 BSci Substance Use Disorder (Jane Kim),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-21 13:00
List the long-term effects of chronic alcohol use. (EO-7729),Active,Psychiatry: Alcohol (TO-6429),1,Neuroscience,M1 BSci Jane Kim,M1 BSci Substance Use Disorder (Jane Kim),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-21 13:00
List the dangerous complications of alcohol withdrawal and how to manage them. (EO-7732),Active,Psychiatry: Alcohol (TO-6429),1,Neuroscience,M1 BSci Jane Kim,M1 BSci Substance Use Disorder (Jane Kim),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-21 13:00
Use the CIWA-Ar scale to assess for alcohol withdrawal. (EO-7731),Active,Psychiatry: Alcohol (TO-6429),1,Neuroscience,M1 BSci Jane Kim,M1 BSci Substance Use Disorder (Jane Kim),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-21 13:00
Describe the symptoms and management of alcohol intoxication. (EO-7730),Active,Psychiatry: Alcohol (TO-6429),1,Neuroscience,M1 BSci Jane Kim,M1 BSci Substance Use Disorder (Jane Kim),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-21 13:00
Explain how to prevent refeeding syndrome. (EO-6575),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
List criteria for inpatient hospitalizations for patients with Anorexia Nervosa. (EO-3262),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Identify the cutoffs for mild; moderate and severe for each of the eating disorders. (EO-3258),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Describe the causes of refeeding syndrome. (EO-3265),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Recognize medical and psychiatric complications of Anorexia Nervosa. (EO-3261),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
List the DSM criteria and describe the key differences between Anorexia Nervosa; Bulimia Nervosa and Binge Eating Disorder. (EO-3255),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Describe the multidisciplinary approach to the treatment of Anorexia Nervosa; including medications. (EO-3264),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Recognize the professions susceptible to eating disorders. (EO-3257),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Recognize the complications associated with the refeeding syndrome. (EO-3266),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
List the most common presenting symptoms for patients with Anorexia Nervosa. (EO-3260),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Identify the risk of mortality and prognostic factors for Anorexia Nervosa. (EO-3263),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Describe the relative prevalence of the three major eating disorders; age of onset and gender differences. (EO-3256),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Describe the abnormal food behaviors of patients with Anorexia Nervosa. (EO-3259),Active,Psychiatry: Anorexia Nervosa (TO-0662),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Identify the diagnostic criteria of generalized anxiety disorder. (EO-6956),Active,Psychiatry: Anxiety Disorders - Generalized Anxiety (TO-6747),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Differentiate between generalized Anxiety from other anxiety disorders. (EO-3120),Active,Psychiatry: Anxiety Disorders - Generalized Anxiety (TO-6747),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Know the treatments for generalized anxiety disorder. (EO-3121),Active,Psychiatry: Anxiety Disorders - Generalized Anxiety (TO-6747),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
List the medical differential diagnosis of a panic attack. (EO-3123),Active,Psychiatry: Anxiety Disorders - Panic Disorder (TO-0647),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Describe the neurobiology of panic disorder. (EO-3124),Active,Psychiatry: Anxiety Disorders - Panic Disorder (TO-0647),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Know the treatments for panic disorder. (EO-3125),Active,Psychiatry: Anxiety Disorders - Panic Disorder (TO-0647),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Distinguish between a panic attack and panic disorder. (EO-3122),Active,Psychiatry: Anxiety Disorders - Panic Disorder (TO-0647),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Define agoraphobia. (EO-3170),Active,Psychiatry: Anxiety Disorders - Phobias (TO-0648),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
"Distinguish between phobias, panic disorder and social phobia. (EO-3169)",Active,Psychiatry: Anxiety Disorders - Phobias (TO-0648),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Characterize social anxiety by using the Liebowitz Social Anxiety Scale. (EO-3175),Active,Psychiatry: Anxiety Disorders: Social Anxiety (TO-0649),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Differentiate between generalized social anxiety disorder and specific social phobia. (EO-3171),Active,Psychiatry: Anxiety Disorders: Social Anxiety (TO-0649),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
List examples of specific social phobias. (EO-3172),Active,Psychiatry: Anxiety Disorders: Social Anxiety (TO-0649),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
List the pharmacologic treatments for social anxiety disorder. (EO-3176),Active,Psychiatry: Anxiety Disorders: Social Anxiety (TO-0649),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Recognize cognitive distortions. (EO-3174),Active,Psychiatry: Anxiety Disorders: Social Anxiety (TO-0649),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Describe the use of Cognitive Behavioral Therapy to treat social anxiety disorder. (EO-3173),Active,Psychiatry: Anxiety Disorders: Social Anxiety (TO-0649),1,Pathophysiology,M1 BSci Brian Radcliffe,M1 BSci PTSD and Anxiety Disorders (Brian Radcliffe),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-17 13:00
Discuss pathophysiology of ASD. (EO-3208),Active,Psychiatry: Autism Spectrum Disorder (TO-6427),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Recognize the presentation of Autism Spectrum Disorder. (EO-7786),Active,Psychiatry: Autism Spectrum Disorder (TO-6427),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Describe the DSM criteria for Autism. (EO-6573),Active,Psychiatry: Autism Spectrum Disorder (TO-6427),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Identify differences in the presentation based on severity of the Autism Spectrum Disorder. (EO-3209),Active,Psychiatry: Autism Spectrum Disorder (TO-6427),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Identify the diagnostic instruments and treatment of autism. (EO-6574),Active,Psychiatry: Autism Spectrum Disorder (TO-6427),1,Psychiatry,M2 BSci Sean Fox,M2 BSci ADHD & Autism (Sean Fox),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-17 13:00
Describe the advantages and disadvantages of DSM-5. (EO-3127),Active,Psychiatry: Basics of Psychiatry (TO-0635),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
Discuss the various manifestations of mental illness. (EO-7717),Active,Psychiatry: Basics of Psychiatry (TO-0635),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
Define the role of psychiatry. (EO-7716),Active,Psychiatry: Basics of Psychiatry (TO-0635),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
Distinguish between normal from pathological behavioral states. (EO-3129),Active,Psychiatry: Basics of Psychiatry (TO-0635),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
Identify the unique challenges that patients and providers within the field of mental health face. (EO-7718),Active,Psychiatry: Basics of Psychiatry (TO-0635),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
"Articulate how social rejection, as opposed to social support, impacts the health of trans and non-binary individuals. (EO-7000)",Active,Psychiatry: Being Trans In The U.S. (TO-1384),1,Psychiatry,M2 BSci J. Chapman,M2 BSci Gender Development and Identity (J. Chapman),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-27 08:30
"Describe the impact of discrimination on the employment, healthcare, housing, and educational experiences of transgender and non-binary individuals. (EO-6998)",Active,Psychiatry: Being Trans In The U.S. (TO-1384),1,Psychiatry,M2 BSci J. Chapman,M2 BSci Gender Development and Identity (J. Chapman),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-27 08:30
"Demonstrate an understanding of the relationship between barriers to public accommodations, such as restrooms, and the health and quality of life of trans and non-binary individuals. (EO-6999)",Active,Psychiatry: Being Trans In The U.S. (TO-1384),1,Psychiatry,M2 BSci J. Chapman,M2 BSci Gender Development and Identity (J. Chapman),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-27 08:30
"Describe the typical course, onset, prevalence, and impact of the Bipolar Disorders. (EO-7733)",Active,Psychiatry: Bipolar Disorders (TO-6739),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
Utilize the MDQ screening instrument for the bipolar disorders. (EO-7735),Active,Psychiatry: Bipolar Disorders (TO-6739),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
"Identify the medications, substances, and other medical conditions that can present similarly to a hypomanic or manic episode. (EO-3151)",Active,Psychiatry: Bipolar Disorders (TO-6739),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
"List the DSM-5 criteria for Bipolar 1 disorder, Bipolar 2 disorder, and Cyclothymia. (EO-7721)",Active,Psychiatry: Bipolar Disorders (TO-6739),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
List the red flags for bipolar disorder and the consequences of misdiagnosis. (EO-3157),Active,Psychiatry: Bipolar Disorders (TO-6739),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
Describe that treatments are chosen based on the patient’s current phase of illness. (EO-7734),Active,Psychiatry: Bipolar Disorders (TO-6739),1,Neuroscience,M1 BSci Sarah O'Neill,M1 BSci Mood Disorders (Sarah O'Neill),M1-07 Brain Behavior and Cognition (RMD-565),2024-06-13 13:00
Describe the multidisciplinary approach to the treatment of Bulimia Nervosa; including medications. (EO-3270),Active,Psychiatry: Bulimia Nervosa and Binge Eating Disorder (TO-6428),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Identify the main features of Pica.  (EO-8636),Active,Psychiatry: Bulimia Nervosa and Binge Eating Disorder (TO-6428),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Identify the course and prognostic factors associated with Bulimia Nervosa. (EO-3269),Active,Psychiatry: Bulimia Nervosa and Binge Eating Disorder (TO-6428),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
List the medical and psychiatric complications of Binge Eating Disorder. (EO-3271),Active,Psychiatry: Bulimia Nervosa and Binge Eating Disorder (TO-6428),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
List the DSM-5 criteria and key features of Bulimia Nervosa and Binge Eating Disorder. (EO-8635),Active,Psychiatry: Bulimia Nervosa and Binge Eating Disorder (TO-6428),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
Recognize the medical and psychiatric complications of Bulimia Nervosa; including electrolyte abnormalities associated with purging behaviors. (EO-3268),Active,Psychiatry: Bulimia Nervosa and Binge Eating Disorder (TO-6428),1,Psychiatry,M1 BSci Evelyn Dixon,M1 BSci Anorexia Nervosa (Evelyn Dixon),M1-05 Food to Fuel (RMD-563),2024-03-04 13:00
